mapName,roundNum,tScore,ctScore,ctFreezeTimeEndEqVal,ctRoundStartEqVal,ctRoundSpendMoney,ctBuyType,tFreezeTimeEndEqVal,tRoundStartEqVal,tRoundSpendMoney,tBuyType,winningSide
-1.5007234340127624,0.7921054801966828,0.2841340637862182,1.1276498739553427,0.8897562436461339,1.1324380432475172,-0.024932385570731935,-0.5849145505097256,-1.5538034185285936,-0.7984177338921457,-0.7341714209990083,2.6623095615117305,1
-0.4847380252011045,0.20615067419761127,-0.1400114735434664,0.49966872064622636,-1.7356415338675624,-0.9575020644811316,-1.2941338577884982,0.49942230811135363,-1.8310967936890021,-0.7984177338921457,-1.3870927154591504,0.48270428218949457,0
-1.5007234340127624,-0.14542220940183165,-0.7762297795379932,0.49966872064622636,0.2543410216962899,-0.9575020644811316,1.5523276964086279,-0.5849145505097256,0.791636379703195,-0.1703892211686869,1.0177263096811748,-0.6070983574716234,0
0.023254679204724488,1.0264874025963113,1.556570675775272,0.2903416695431875,-1.2085916986068392,-0.1487017131929548,-1.3311008909598894,2.668096025353512,0.8725136141249809,0.6646032332477297,0.3389467461335024,-0.6070983574716234,1
0.5312473836105535,0.5577235577970542,0.9203523697807451,0.08101461844014873,0.7813908569570133,-0.2263465469166198,1.3428478417707441,-0.5849145505097256,0.3179268638041638,1.6922862540679349,-1.2125493991183203,-0.6070983574716234,0
-0.4847380252011045,0.32334163539742555,-0.564157010873151,1.1276498739553427,-1.016489422203398,-0.77633078579258,0.4556390456573543,1.5837591667324329,-2.0448437703751505,-0.7984177338921457,-0.4820532973955871,0.48270428218949457,1
1.0392400880163826,1.964015092194826,1.768643444440114,1.755631027264459,0.8257221515116535,-0.9575020644811316,1.8850309949511492,-0.5849145505097256,0.8147441609665624,-0.7984177338921457,1.5995373641506083,-0.6070983574716234,0
-0.4847380252011045,-0.14542220940183165,-0.9883025482028356,0.7089957717492651,0.9488646363856542,0.6665690409055274,0.5418954563906005,-0.5849145505097256,0.7511977624923021,-0.7984177338921457,1.5025688550723695,-0.6070983574716234,0
-0.9927307296069335,-0.26261317060164596,-0.3520842422083087,-0.12831243266289008,1.1705211091588557,2.225936118189132,-0.5547931943606732,-0.5849145505097256,0.4739043873318936,-0.7984177338921457,1.192269626022005,-0.6070983574716234,1
-0.9927307296069335,-1.082949899000346,-0.7762297795379932,-1.174947688178084,0.6582483720830125,0.38187131725208917,0.43715552907165867,-0.5849145505097256,0.8147441609665624,-0.7984177338921457,1.5995373641506083,-0.6070983574716234,1
-0.9927307296069335,0.6749145189968685,0.07206129512137588,1.1276498739553427,-0.543622280287235,-0.9575020644811316,0.2091921578480793,1.5837591667324329,0.6298819108596234,0.6646032332477297,0.04157665162690307,-0.6070983574716234,0
-0.4847380252011045,0.5577235577970542,0.49620683245106045,0.49966872064622636,0.5301801878140516,-0.9575020644811316,-1.7130935670642655,-0.5849145505097256,0.6645435827546744,1.3854086853507903,-1.8202187226752842,-0.6070983574716234,0
-0.9927307296069335,-0.26261317060164596,-0.564157010873151,0.08101461844014873,0.8404992496965336,0.24599285823567546,0.7821811720046437,-0.5849145505097256,0.1850571215398014,-0.7984177338921457,0.9078286660591708,-0.6070983574716234,0
1.0392400880163826,-0.028231248202017334,0.49620683245106045,-0.5469665348689676,0.7075053660326127,-0.9575020644811316,1.700195829094193,-0.5849145505097256,0.8956213953883482,1.1498979930794933,-0.048927290179453256,-0.6070983574716234,0
-0.9927307296069335,-0.9657589378005318,-0.9883025482028356,-0.7562935859720065,-0.15941772748035263,-0.3751658115536443,0.09829105833390556,-0.5849145505097256,0.41613493417347514,-0.3416697246387211,0.6621751097276322,-0.6070983574716234,1
1.0392400880163826,-0.49699509300127453,-0.1400114735434664,-0.7562935859720065,0.20508402774668963,-0.8604460223265503,1.016305715423455,-0.5849145505097256,0.976498629810134,1.949207009272986,-0.7341714209990083,-0.6070983574716234,1
0.5312473836105535,-1.082949899000346,-0.9883025482028356,-0.9656206370750453,-1.9031153132962035,-0.9575020644811316,-1.4173573016931356,0.49942230811135363,0.5778894030170468,0.9714808019648743,-0.29458084651099187,-0.6070983574716234,1
-0.4847380252011045,-1.082949899000346,-1.2003753168676778,-0.7562935859720065,-0.29241161114427344,-0.9575020644811316,0.5973460061476874,1.5837591667324329,-0.034466800462188675,0.5504162309343736,0.3906632843085632,1.5725069218506127,0
